,,,,,,,,,,,,,,
"CUADRO No .-8
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS, POR CLASE, SEGÚN MARCA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>
MARCA,TOTAL,CLASE,,,,,,,,,,,,
,,AUTOMÓVIL,AUTOBÚS,CAMIÓN,CAMIONETA,FURGONETA C,FURGONETA P,JEEP,MOTOCICLETA,TANQUERO,TRÁILER,VOLQUETA,OTRA CLASE,
MOTO PLUS, 271 , -   , -   , -   , -   , -   , -   , -   , 271 , -   , -   , -   , -   ,
ZONGSHEN, 270 , -   , -   , -   , -   , -   , -   , -   , 270 , -   , -   , -   , -   ,
CHRYSLER, 266 , 161 , -   , -   , 5 , 53 , 31 , 16 , -   , -   , -   , -   , -   ,
SRM, 263 , -   , -   , -   , -   , -   , -   , -   , 263 , -   , -   , -   , -   ,
JIEDA, 249 , -   , -   , -   , -   , -   , -   , -   , 249 , -   , -   , -   , -   ,
AKT, 234 , -   , -   , -   , -   , -   , -   , -   , 234 , -   , -   , -   , -   ,
UD TRUCKS, 234 , -   , -   , 21 , -   , -   , -   , -   , -   , 18 , 6 , 129 , 60 ,
GOLDEN DRAGON, 231 , -   , 52 , -   , -   , 179 , -   , -   , -   , -   , -   , -   , -   ,
CHANGAN, 228 , 3 , -   , 12 , 157 , 55 , -   , 1 , -   , -   , -   , -   , -   ,
SINSKI, 228 , -   , -   , -   , -   , -   , -   , -   , 228 , -   , -   , -   , -   ,
YAMOTO, 217 , -   , -   , -   , -   , -   , -   , -   , 217 , -   , -   , -   , -   ,
PIAGGIO, 212 , -   , -   , -   , -   , -   , -   , -   , 212 , -   , -   , -   , -   ,
MACAT, 200 , -   , -   , -   , -   , -   , -   , -   , 200 , -   , -   , -   , -   ,
DAKAR, 195 , -   , -   , -   , -   , -   , -   , -   , 195 , -   , -   , -   , -   ,
DUCATI, 192 , -   , -   , -   , -   , -   , -   , -   , 192 , -   , -   , -   , -   ,
IVECO, 181 , -   , 31 , 34 , -   , 12 , -   , -   , -   , 11 , 17 , 55 , 21 ,
OSAKA, 167 , -   , -   , -   , -   , -   , -   , -   , 167 , -   , -   , -   , -   ,
PETERBILT, 167 , -   , -   , 25 , -   , -   , -   , -   , -   , 4 , 102 , 10 , 26 ,
ROYAL ENFIELD, 160 , -   , -   , -   , -   , -   , -   , -   , 160 , -   , -   , -   , -   ,
EXPLORER, 159 , -   , -   , -   , -   , -   , -   , -   , 159 , -   , -   , -   , -   ,
BEIBEN, 157 , -   , -   , 11 , -   , -   , -   , -   , -   , 2 , 105 , 39 , -   ,
HUSQVARNA, 156 , -   , -   , -   , -   , -   , -   , -   , 156 , -   , -   , -   , -   ,
ALFA ROMEO, 151 , 151 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
WESTERN STAR, 148 , -   , -   , 2 , -   , -   , -   , -   , -   , 2 , 138 , 3 , 3 ,
OPEL, 134 , 74 , -   , -   , 49 , -   , -   , 11 , -   , -   , -   , -   , -   ,
SPEED FIRE, 133 , -   , -   , -   , -   , -   , -   , -   , 133 , -   , -   , -   , -   ,
SEAT, 132 , 132 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
NANFANG, 130 , -   , -   , -   , -   , -   , -   , -   , 130 , -   , -   , -   , -   ,
HARLEM DAYTON, 129 , -   , -   , -   , -   , -   , -   , -   , 129 , -   , -   , -   , -   ,
JET MOTO, 110 , -   , -   , -   , -   , -   , -   , -   , 110 , -   , -   , -   , -   ,
OTRAS MARCAS," 19,869 "," 4,768 ", 498 ," 1,242 "," 1,550 ", 485 , 189 ," 2,563 "," 7,190 ", 94 , 531 , 367 , 392 ,
,,,,,,,,,,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2015,,,,,,,,,,,,,,
