,,,,,,,,,,,,,,,,
"CUADRO No .-6
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS EN EL 2015, POR MARCA, SEGÚN MODELO",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ÍNDICE>>
MARCA,TOTAL,MODELO,,,,,,,,,,,,,,
HUSSAR, 661 , 13 , 48 , 44 , 214 , 222 , 120 , -   , -   , -   , -   , -   , -   , -   , -   ,
MAHINDRA, 654 , -   , -   , -   , -   , -   , -   , -   , 3 , 63 , 249 , 248 , 91 , -   , -   ,
SAIC WULING, 618 , -   , -   , -   , 3 , 44 , 188 , 383 , -   , -   , -   , -   , -   , -   , -   ,
FACTORY, 564 , -   , -   , -   , -   , -   , -   , 4 , 7 , 5 , 58 , 47 , 166 , 277 , -   ,
SCANIA, 556 , 403 , 5 , 12 , 20 , 25 , 4 , 14 , 6 , 6 , 9 , 13 , 6 , 22 , 11 ,
LML, 525 , 114 , 36 , 20 , 7 , -   , 68 , 31 , -   , -   , -   , 204 , -   , 45 , -   ,
DUCAR, 514 , -   , -   , 102 , 168 , 193 , 51 , -   , -   , -   , -   , -   , -   , -   , -   ,
KINGTON, 506 , 18 , 12 , 36 , 84 , -   , 57 , 152 , 1 , 145 , 1 , -   , -   , -   , -   ,
PORSCHE, 502 , 63 , 17 , 37 , 34 , 14 , 64 , 9 , 7 , 100 , 49 , 38 , 22 , 42 , 6 ,
FENGCHI, 494 , -   , -   , -   , -   , -   , -   , -   , 2 , 491 , 1 , -   , -   , -   , -   ,
ZANYA, 470 , -   , -   , -   , -   , 7 , 61 , 111 , 101 , 190 , -   , -   , -   , -   , -   ,
JINCHENG, 450 , 23 , 11 , 33 , 138 , 36 , 55 , 29 , 125 , -   , -   , -   , -   , -   , -   ,
MAN, 450 , 126 , 19 , 13 , 11 , 30 , 23 , 70 , 63 , 9 , 20 , 56 , -   , 10 , -   ,
SINOTRUK, 446 , -   , -   , -   , -   , -   , 11 , 5 , -   , 6 , 7 , 49 , 11 , 356 , 1 ,
VESPA, 440 , 246 , -   , -   , -   , -   , -   , -   , -   , -   , 11 , 93 , 88 , 2 , -   ,
JRI, 429 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 33 , 137 , 118 , 141 , -   ,
SUBARU, 426 , 391 , 2 , 4 , 4 , 1 , 3 , 3 , 6 , 6 , 1 , 2 , -   , 3 , -   ,
FOTON, 424 , -   , 8 , -   , 29 , 49 , 13 , 13 , -   , 25 , 19 , 30 , 112 , 112 , 14 ,
BMA, 422 , -   , -   , 19 , 38 , 52 , 63 , 144 , 106 , -   , -   , -   , -   , -   , -   ,
KOSHIN MOTOR, 419 , -   , -   , -   , -   , 15 , 172 , 89 , 121 , 20 , -   , 2 , -   , -   , -   ,
FAW, 417 , 30 , 34 , 54 , 6 , 74 , 8 , -   , -   , -   , -   , -   , -   , 118 , 93 ,
KENBO, 400 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 399 , -   , -   ,
TATA, 387 , 249 , 101 , -   , -   , -   , 2 , -   , 1 , 4 , 1 , 2 , 27 , -   , -   ,
YASAKI, 387 , -   , -   , 22 , 43 , 106 , 122 , 88 , -   , 6 , -   , -   , -   , -   , -   ,
TIANYE, 376 , -   , -   , -   , -   , -   , -   , -   , -   , 151 , 192 , 33 , -   , -   , -   ,
KINLON, 373 , -   , -   , 43 , 29 , 68 , 71 , 40 , 33 , 47 , 2 , 1 , 2 , 22 , 15 ,
OKAZAKI, 366 , -   , -   , 25 , 13 , 28 , 172 , 128 , -   , -   , -   , -   , -   , -   , -   ,
ASIA, 364 , 364 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
JINBEI HAISE, 363 , -   , -   , -   , -   , 101 , 104 , 109 , 22 , 1 , 26 , -   , -   , -   , -   ,
HARLEY DAVIDSON, 346 , 128 , 5 , 18 , 31 , 16 , 8 , 7 , 10 , 22 , 16 , 27 , 34 , 24 , -   ,
SAEHAN, 340 , 340 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
WILLYS, 312 , 312 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
YUTONG, 309 , -   , -   , -   , -   , 29 , 14 , 12 , 18 , 30 , 50 , 67 , 30 , 59 , -   ,
LONGJIA, 295 , -   , -   , -   , 34 , 116 , 115 , 30 , -   , -   , -   , -   , -   , -   , -   ,
DACIA, 290 , 192 , -   , -   , -   , -   , 2 , 4 , 7 , 15 , 22 , 19 , 22 , 7 , -   ,
AMAZON, 285 , -   , -   , -   , 137 , 80 , 23 , -   , 45 , -   , -   , -   , -   , -   , -   ,
ZX AUTO, 272 , -   , -   , -   , -   , 49 , 106 , 117 , -   , -   , -   , -   , -   , -   , -   ,
MOTO PLUS, 271 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 271 , -   , -   , -   , -   ,
ZONGSHEN, 270 , 40 , 26 , -   , 24 , 29 , 3 , -   , -   , -   , 1 , -   , 1 , 146 , -   ,
CHRYSLER, 266 , 238 , -   , 6 , 2 , 6 , 3 , 1 , 2 , 1 , 1 , 4 , 1 , 1 , -   ,
SRM, 263 , -   , -   , -   , -   , -   , 158 , 46 , 59 , -   , -   , -   , -   , -   , -   ,
JIEDA, 249 , 4 , -   , -   , 64 , 32 , 149 , -   , -   , -   , -   , -   , -   , -   , -   ,
AKT, 234 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 233 , 1 ,
UD TRUCKS, 234 , -   , -   , -   , -   , -   , -   , -   , -   , 33 , 51 , 16 , 47 , 83 , 4 ,
GOLDEN DRAGON, 231 , -   , -   , -   , -   , -   , 24 , 57 , -   , 38 , 18 , 34 , 6 , 24 , 30 ,
CHANGAN, 228 , 143 , 5 , -   , 44 , -   , -   , 32 , -   , -   , -   , -   , 4 , -   , -   ,
SINSKI, 228 , 217 , 11 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
YAMOTO, 217 , -   , -   , -   , 50 , 108 , 59 , -   , -   , -   , -   , -   , -   , -   , -   ,
PIAGGIO, 212 , 1 , -   , -   , -   , -   , 1 , -   , 22 , 67 , 47 , 61 , 12 , 1 , -   ,
MACAT, 200 , 56 , -   , -   , -   , 29 , 115 , -   , -   , -   , -   , -   , -   , -   , -   ,
DAKAR, 195 , -   , -   , -   , 2 , 193 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
DUCATI, 192 , 10 , 4 , 2 , -   , 4 , -   , 1 , 10 , 23 , 25 , 51 , 36 , 24 , 2 ,
IVECO, 181 , 31 , 1 , 1 , -   , 40 , 44 , 8 , 2 , -   , 25 , 21 , 4 , 4 , -   ,
OSAKA, 167 , -   , -   , -   , -   , -   , 44 , 123 , -   , -   , -   , -   , -   , -   , -   ,
PETERBILT, 167 , 138 , 3 , 2 , 3 , 6 , 6 , 2 , -   , -   , 4 , 2 , 1 , -   , -   ,
ROYAL ENFIELD, 160 , -   , -   , -   , 5 , -   , -   , -   , -   , -   , 35 , 7 , 28 , 85 , -   ,
EXPLORER, 159 , -   , -   , -   , -   , -   , 28 , 131 , -   , -   , -   , -   , -   , -   , -   ,
BEIBEN, 157 , -   , -   , -   , -   , -   , 2 , -   , 14 , 3 , 8 , 38 , 35 , 57 , -   ,
HUSQVARNA, 156 , 1 , -   , 1 , 4 , -   , -   , 1 , 8 , 26 , 15 , 18 , 27 , 55 , -   ,
ALFA ROMEO, 151 , 131 , 4 , -   , 1 , -   , 13 , -   , 1 , -   , -   , -   , 1 , -   , -   ,
WESTERN STAR, 148 , 106 , -   , -   , 1 , -   , 2 , 6 , 1 , 6 , 4 , 3 , 14 , 5 , -   ,
OPEL, 134 , 89 , -   , 1 , 4 , 4 , 2 , 1 , 6 , 4 , 1 , 7 , 10 , 5 , -   ,
SPEED FIRE, 133 , -   , -   , -   , 5 , 21 , 73 , 34 , -   , -   , -   , -   , -   , -   , -   ,
SEAT, 132 , 106 , -   , -   , 1 , 4 , 3 , -   , 5 , 4 , 4 , 4 , -   , 1 , -   ,
NANFANG, 130 , 33 , -   , 8 , 36 , 53 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
HARLEM DAYTON, 129 , -   , -   , 8 , 5 , -   , -   , -   , -   , -   , -   , -   , 60 , 56 , -   ,
JET MOTO, 110 , -   , -   , -   , -   , -   , 57 , 53 , -   , -   , -   , -   , -   , -   , -   ,
OTRAS MARCAS," 19,869 "," 4,086 ", 612 ," 1,150 "," 1,182 "," 1,047 "," 1,322 "," 1,330 "," 1,746 "," 1,965 "," 2,195 ", 779 ," 1,090 "," 1,244 ", 121 ,
,,,,,,,,,,,,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2015,,,,,,,,,,,,,,,,
