,,,,,,,,,,,,,,
"CUADRO No .-8
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR CLASE, SEGÚN MARCA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>
MARCA,TOTAL,CLASE,,,,,,,,,,,,
,,AUTOMÓVIL,AUTOBÚS,CAMIÓN,CAMIONETA,FURGONETA C,FURGONETA P,JEEP,MOTOCICLETA,TANQUERO,TRÁILER,VOLQUETA,OTRA CLASE,
YASAKI, 398 , -   , -   , -   , -   , -   , -   , -   , 398 , -   , -   , -   , -   ,
TIANYE, 379 , -   , -   , -   , 378 , -   , -   , 1 , -   , -   , -   , -   , -   ,
KINLON, 487 , -   , 68 , 1 , -   , 108 , -   , -   , 307 , -   , 1 , -   , 2 ,
OKAZAKI, 342 , -   , -   , -   , -   , -   , -   , -   , 342 , -   , -   , -   , -   ,
ASIA, 393 , 7 , 14 , 6 , 7 , 342 , 2 , 6 , -   , 2 , 1 , 6 , -   ,
JINBEI HAISE, 496 , -   , -   , -   , 22 , 462 , -   , -   , -   , -   , -   , -   , 12 ,
HARLEY DAVIDSON, 374 , -   , -   , -   , -   , -   , -   , -   , 374 , -   , -   , -   , -   ,
SAEHAN, 366 , 29 , -   , -   , 336 , 1 , -   , -   , -   , -   , -   , -   , -   ,
WILLYS, 325 , -   , -   , -   , 4 , -   , -   , 321 , -   , -   , -   , -   , -   ,
LONGJIA, 287 , -   , -   , -   , -   , -   , -   , -   , 287 , -   , -   , -   , -   ,
DACIA, 318 , 165 , -   , -   , 44 , 1 , 69 , 39 , -   , -   , -   , -   , -   ,
AMAZON, 292 , -   , -   , -   , -   , -   , -   , -   , 292 , -   , -   , -   , -   ,
ZX AUTO, 266 , -   , -   , -   , 237 , 1 , -   , 28 , -   , -   , -   , -   , -   ,
MOTO PLUS, 307 , -   , -   , -   , -   , -   , -   , -   , 307 , -   , -   , -   , -   ,
ZONGSHEN, 743 , -   , -   , -   , -   , -   , -   , -   , 743 , -   , -   , -   , -   ,
CHRYSLER, 285 , 154 , -   , -   , 4 , 78 , 16 , 31 , -   , -   , -   , -   , 2 ,
SRM, 225 , -   , -   , -   , -   , -   , -   , -   , 225 , -   , -   , -   , -   ,
