,,,,,,,,,,,,,,,,,
"CUADRO No .-6
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR  MODELO (AÑO DE FABRICACIÓN), SEGÚN MARCA",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,ÍNDICE>>
MARCA,TOTAL,MODELO (AÑO DE FABRICACIÓN),,,,,,,,,,,,,,,
DACIA, 318 , 179 , -   , -   , -   , -   , 2 , 4 , 12 , 18 , 25 , 27 , 21 , 22 , 8 , -   ,
AMAZON, 292 , -   , -   , -   , 125 , 75 , 16 , -   , 76 , -   , -   , -   , -   , -   , -   , -   ,
ZX AUTO, 266 , -   , -   , -   , -   , 51 , 102 , 113 , -   , -   , -   , -   , -   , -   , -   , -   ,
MOTO PLUS, 307 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 307 , -   , -   , -   , -   , -   ,
ZONGSHEN, 743 , 37 , 23 , -   , 21 , 23 , 5 , -   , -   , -   , 2 , -   , -   , 632 , -   , -   ,
CHRYSLER, 285 , 252 , 1 , 3 , 2 , 6 , 9 , 2 , 3 , 1 , 1 , 2 , 2 , 1 , -   , -   ,
SRM, 225 , -   , -   , -   , -   , -   , 137 , 34 , 54 , -   , -   , -   , -   , -   , -   , -   ,
JIEDA, 233 , 3 , -   , -   , 51 , 30 , 149 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
AKT," 1,224 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 247 , 977 , -   ,
UD TRUCKS, 277 , -   , -   , -   , -   , -   , -   , -   , -   , 45 , 52 , 14 , 60 , 92 , 14 , -   ,
GOLDEN DRAGON, 415 , -   , -   , -   , -   , -   , 35 , 70 , -   , 63 , 21 , 38 , 12 , 65 , 111 , -   ,
CHANGAN, 257 , 162 , 5 , -   , 49 , -   , -   , 35 , -   , -   , -   , -   , 5 , 1 , -   , -   ,
SINSKI, 206 , 199 , 7 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
YAMOTO, 218 , -   , -   , -   , 57 , 111 , 50 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
PIAGGIO, 269 , 1 , -   , -   , 2 , -   , -   , -   , 30 , 103 , 54 , 62 , 13 , 4 , -   , -   ,
MACAT, 200 , 60 , -   , -   , -   , 29 , 111 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
DAKAR, 202 , -   , -   , -   , -   , 202 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
DUCATI, 196 , 9 , -   , 2 , -   , 2 , -   , 1 , 12 , 16 , 30 , 45 , 46 , 20 , 12 , 1 ,
IVECO, 219 , 38 , 1 , 1 , -   , 47 , 55 , 9 , 3 , -   , 27 , 17 , 7 , 14 , -   , -   ,
OSAKA, 157 , -   , -   , -   , -   , -   , 42 , 115 , -   , -   , -   , -   , -   , -   , -   , -   ,
PETERBILT, 170 , 147 , 2 , 1 , 2 , 2 , 8 , 2 , -   , -   , 4 , 1 , 1 , -   , -   , -   ,
ROYAL ENFIELD, 210 , -   , -   , -   , 4 , -   , -   , -   , -   , -   , 30 , 9 , 26 , 141 , -   , -   ,
EXPLORER, 134 , -   , -   , -   , -   , -   , 23 , 111 , -   , -   , -   , -   , -   , -   , -   , -   ,
BEIBEN, 209 , -   , -   , -   , -   , -   , 3 , -   , 16 , 4 , 17 , 51 , 67 , 50 , 1 , -   ,
HUSQVARNA, 141 , -   , 1 , -   , 3 , -   , -   , 1 , 7 , 24 , 10 , 13 , 23 , 33 , 21 , 5 ,
ALFA ROMEO, 151 , 131 , 3 , -   , 1 , -   , 13 , -   , -   , -   , -   , -   , 2 , 1 , -   , -   ,
